COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,PAT_DAYS,PAT_WEEKS,PAT_MONTHS,PAT_CLASS_ID,PAT_CLASS_DAYS,PAT_CLASS_WEEKS,PAT_CLASS_DESC,PAT_PAID_STATUS,FATHER_INCENTIVES_STATUS,FATHER_INCENTIVES_SOURCE,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Eritrea,ERI,ERI,ERI,Sub-Saharan Africa,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,40.25,0.0,25.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Estonia,EST,EST,EST,High income: OECD,High income,2026,30,4.3,1.0,5,29+ days,4+ weeks,Four weeks or more,Yes,No,Insufficient evidence located,100.0,25.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Eswatini,SWZ,SWZ,SWZ,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,28.5,0.0,11.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ethiopia,ETH,ETH,ETH,Sub-Saharan Africa,N/A,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,55.25,0.0,48.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Fiji,FJI,FJI,FJI,East Asia & Pacific,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,0.0,20.83,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Finland,FIN,FIN,FIN,High income: OECD,High income,2026,136,19.4,4.5,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Employment Contracts Act, Ch. 4, Sec. 9 and Ch. 7, Sec. 9",87.5,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
France,FRA,FRA,FRA,High income: OECD,High income,2026,205,29.3,6.7,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Code du Travail, Art. L1225-4-1",100.0,100.0,90.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Gabon,GAB,GAB,GAB,Sub-Saharan Africa,Upper middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,25.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Gambia, The",GMB,GMB,GMB,Sub-Saharan Africa,Low income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,75.0,0.0,31.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Georgia,GEO,GEO,GEO,Europe & Central Asia,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,50.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Germany,DEU,DEU,DEU,High income: OECD,High income,2026,60,8.6,2.0,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Parental Allowances and Parental Leave Act, Sec. 4",100.0,100.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ghana,GHA,GHA,GHA,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,46.5,25.0,34.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Greece,GRC,GRC,GRC,High income: OECD,High income,2026,78,11.1,2.6,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Law 4808/2021, Art. 48; Individual Labor Code (Presidential Decree No. 62/2025), Art. 250",100.0,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Grenada,GRD,GRD,GRD,Latin America & Caribbean,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,60.5,25.0,60.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guatemala,GTM,GTM,GTM,Latin America & Caribbean,Upper middle income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,75.0,50.0,49.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guinea,GIN,GIN,GIN,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,37.5,0.0,28.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guinea-Bissau,GNB,GNB,GNB,Sub-Saharan Africa,Low income,2026,15,2.1,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,48.0,0.0,14.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guyana,GUY,GUY,GUY,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,73.25,0.0,67.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Haiti,HTI,HTI,HTI,Latin America & Caribbean,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,71.5,25.0,47.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Honduras,HND,HND,HND,Latin America & Caribbean,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,59.0,25.0,44.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
